candidate_id,rank,score,reasoning
CAND_0006538,15,0.4976,"AI Specialist with 5.7 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.54) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0060054,16,0.4972,"AI Engineer with 6.4 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.70) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0038099,17,0.4967,"Junior ML Engineer with 5.4 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0043860,18,0.4967,"Junior ML Engineer with 6.1 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0053605,19,0.4959,"Senior Software Engineer (ML) with 6.9 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.61). Behavioral signals: High response rate"
CAND_0068985,20,0.4959,"Senior Software Engineer (ML) with 5.2 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.61). Behavioral signals: High response rate"
CAND_0061479,21,0.4939,"ML Engineer with 5.0 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.50) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0065786,22,0.4936,"AI Specialist with 4.9 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.54) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0070525,23,0.4903,"Senior Software Engineer (ML) with 5.4 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.61) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0053591,24,0.4898,"AI Engineer with 5.3 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.70). Behavioral signals: High response rate"
CAND_0044883,25,0.4895,"AI Engineer with 6.3 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.70) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0011687,26,0.4894,"Senior NLP Engineer with 7.8 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.57). Behavioral signals: High response rate"
CAND_0073007,27,0.4888,"AI Specialist with 5.8 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.54). Behavioral signals: High response rate"
CAND_0005260,28,0.4886,"Senior NLP Engineer with 5.2 years exp. Semantic Capability Match is 0.33 (75% skill coverage, title match: 0.57). Behavioral signals: High response rate"
CAND_0049771,29,0.4878,"AI Research Engineer with 5.0 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.65) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0042100,30,0.4876,"Machine Learning Engineer with 7.3 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.46) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0049217,31,0.4858,"Computer Vision Engineer with 6.0 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.42) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0024147,32,0.4851,"ML Engineer with 5.9 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.50). Behavioral signals: High response rate"
CAND_0068932,33,0.4851,"ML Engineer with 5.2 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.50). Behavioral signals: High response rate"
CAND_0064326,34,0.4834,"Search Engineer with 7.6 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.42) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0081686,35,0.4834,"Search Engineer with 6.0 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.42) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0062772,36,0.4833,"Senior Software Engineer (ML) with 6.6 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.61) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0075249,37,0.4833,"Applied ML Engineer with 6.2 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.47) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0010685,38,0.4823,"NLP Engineer with 6.7 years exp. Semantic Capability Match is 0.31 (50% skill coverage, title match: 0.41) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0057563,39,0.4823,"NLP Engineer with 6.8 years exp. Semantic Capability Match is 0.31 (50% skill coverage, title match: 0.41) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0076163,40,0.4823,"NLP Engineer with 6.9 years exp. Semantic Capability Match is 0.31 (50% skill coverage, title match: 0.41) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0035879,41,0.4803,"AI Research Engineer with 4.5 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0055960,42,0.4793,"AI Specialist with 4.9 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.54) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0052682,43,0.4768,"NLP Engineer with 6.6 years exp. Semantic Capability Match is 0.30 (50% skill coverage, title match: 0.41) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0090300,44,0.4755,"AI Research Engineer with 5.3 years exp. Semantic Capability Match is 0.30 (50% skill coverage, title match: 0.65) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0036437,45,0.4754,"Search Engineer with 4.8 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.42) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0096142,46,0.4742,"Applied ML Engineer with 5.0 years exp. Semantic Capability Match is 0.30 (50% skill coverage, title match: 0.47) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0078002,47,0.4731,"Machine Learning Engineer with 6.3 years exp. Semantic Capability Match is 0.30 (50% skill coverage, title match: 0.46) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0020991,48,0.473,"Junior ML Engineer with 4.9 years exp. Semantic Capability Match is 0.30 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0007596,49,0.4727,"Junior ML Engineer with 4.4 years exp. Semantic Capability Match is 0.34 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0046132,50,0.4723,"AI Research Engineer with 4.3 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0094759,51,0.4723,"Lead AI Engineer with 8.6 years exp. Semantic Capability Match is 0.44 (75% skill coverage, title match: 0.63) [Depth bonus applied]. Average behavioral signals."
CAND_0091534,52,0.4721,"AI Engineer with 16.6 years exp. Semantic Capability Match is 0.37 (50% skill coverage, title match: 0.70) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0032652,53,0.4716,"Senior Software Engineer with 5.1 years exp. Semantic Capability Match is 0.29 (25% skill coverage, title match: 0.63) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0061655,54,0.4716,"Machine Learning Engineer with 4.6 years exp. Semantic Capability Match is 0.33 (50% skill coverage, title match: 0.46) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0054123,55,0.4713,"Applied ML Engineer with 4.7 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.47) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0081846,56,0.4707,"Lead AI Engineer with 6.7 years exp. Semantic Capability Match is 0.44 (75% skill coverage, title match: 0.63) [Depth bonus applied]. Average behavioral signals."
CAND_0018499,57,0.4705,"Senior Machine Learning Engineer with 7.2 years exp. Semantic Capability Match is 0.44 (75% skill coverage, title match: 0.62) [Depth bonus applied]. Average behavioral signals."
CAND_0039754,58,0.4699,"Senior Applied Scientist with 16.2 years exp. Semantic Capability Match is 0.37 (75% skill coverage, title match: 0.50) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0065139,59,0.4696,"AI Research Engineer with 5.2 years exp. Semantic Capability Match is 0.29 (25% skill coverage, title match: 0.65) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0024878,60,0.4691,"AI Specialist with 5.7 years exp. Semantic Capability Match is 0.29 (50% skill coverage, title match: 0.54). Behavioral signals: High response rate"
CAND_0028527,61,0.4691,"AI Specialist with 5.4 years exp. Semantic Capability Match is 0.29 (50% skill coverage, title match: 0.54). Behavioral signals: High response rate"
CAND_0067535,62,0.4691,"Junior ML Engineer with 6.8 years exp. Semantic Capability Match is 0.29 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0006567,63,0.4679,"Senior AI Engineer with 7.9 years exp. Semantic Capability Match is 0.44 (75% skill coverage, title match: 0.86) [Depth bonus applied]. Average behavioral signals."
CAND_0051615,64,0.4674,"Search Engineer with 4.6 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.42) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0043637,65,0.466,"Junior ML Engineer with 5.5 years exp. Semantic Capability Match is 0.28 (25% skill coverage, title match: 0.62) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0012837,66,0.4655,"Junior ML Engineer with 6.4 years exp. Semantic Capability Match is 0.28 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0005193,67,0.4654,"Senior Software Engineer with 6.2 years exp. Semantic Capability Match is 0.28 (25% skill coverage, title match: 0.63). Behavioral signals: High response rate"
CAND_0010603,68,0.4654,"ML Engineer with 5.3 years exp. Semantic Capability Match is 0.28 (50% skill coverage, title match: 0.50). Behavioral signals: High response rate"
CAND_0077498,69,0.4652,"Senior Software Engineer (ML) with 5.4 years exp. Semantic Capability Match is 0.28 (25% skill coverage, title match: 0.61) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0010149,70,0.4641,"ML Engineer with 6.9 years exp. Semantic Capability Match is 0.28 (50% skill coverage, title match: 0.50) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0008295,71,0.4638,"AI Research Engineer with 6.5 years exp. Semantic Capability Match is 0.28 (25% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0094924,72,0.4631,"Senior Data Engineer with 5.6 years exp. Semantic Capability Match is 0.28 (25% skill coverage, title match: 0.55) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0026942,73,0.4601,"Junior ML Engineer with 6.0 years exp. Semantic Capability Match is 0.27 (25% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0094482,74,0.4601,"Junior ML Engineer with 6.4 years exp. Semantic Capability Match is 0.27 (25% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0078042,75,0.4599,"Applied ML Engineer with 4.7 years exp. Semantic Capability Match is 0.29 (50% skill coverage, title match: 0.47) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0054546,76,0.4598,"AI Research Engineer with 4.9 years exp. Semantic Capability Match is 0.28 (25% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0025923,77,0.4593,"Senior Software Engineer (ML) with 5.0 years exp. Semantic Capability Match is 0.27 (25% skill coverage, title match: 0.61). Behavioral signals: High response rate"
CAND_0073314,78,0.4593,"Senior Software Engineer (ML) with 5.2 years exp. Semantic Capability Match is 0.27 (25% skill coverage, title match: 0.61). Behavioral signals: High response rate"
CAND_0086022,79,0.4586,"Senior Applied Scientist with 5.3 years exp. Semantic Capability Match is 0.42 (75% skill coverage, title match: 0.50) [Depth bonus applied]. Average behavioral signals."
CAND_0030641,80,0.4569,"Senior Data Engineer with 5.0 years exp. Semantic Capability Match is 0.26 (25% skill coverage, title match: 0.55). Behavioral signals: High response rate"
CAND_0084451,81,0.4569,"Senior Data Engineer with 5.0 years exp. Semantic Capability Match is 0.26 (25% skill coverage, title match: 0.55). Behavioral signals: High response rate"
CAND_0015065,82,0.4563,"AI Research Engineer with 3.9 years exp. Semantic Capability Match is 0.35 (50% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0041611,83,0.456,"Staff Machine Learning Engineer with 6.4 years exp. Semantic Capability Match is 0.41 (75% skill coverage, title match: 0.48) [Depth bonus applied]. Average behavioral signals."
CAND_0015582,84,0.4556,"ML Engineer with 4.4 years exp. Semantic Capability Match is 0.31 (50% skill coverage, title match: 0.50) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0016659,85,0.4556,"ML Engineer with 4.4 years exp. Semantic Capability Match is 0.31 (50% skill coverage, title match: 0.50) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0078785,86,0.4551,"AI Research Engineer with 6.3 years exp. Semantic Capability Match is 0.26 (25% skill coverage, title match: 0.65). Behavioral signals: High response rate"
CAND_0029790,87,0.4548,"Senior Software Engineer with 6.6 years exp. Semantic Capability Match is 0.26 (25% skill coverage, title match: 0.63) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0098217,88,0.4544,"ML Engineer with 6.4 years exp. Semantic Capability Match is 0.26 (25% skill coverage, title match: 0.50) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0079064,89,0.4539,"Senior Data Scientist with 5.2 years exp. Semantic Capability Match is 0.26 (25% skill coverage, title match: 0.46) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0077956,90,0.4534,"Computer Vision Engineer with 6.4 years exp. Semantic Capability Match is 0.26 (50% skill coverage, title match: 0.42). Behavioral signals: High response rate"
CAND_0017178,91,0.4531,"ML Engineer with 4.2 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.50). Behavioral signals: High response rate"
CAND_0096209,92,0.4531,"ML Engineer with 4.2 years exp. Semantic Capability Match is 0.32 (50% skill coverage, title match: 0.50). Behavioral signals: High response rate"
CAND_0023559,93,0.4519,"Data Scientist with 4.7 years exp. Semantic Capability Match is 0.28 (50% skill coverage, title match: 0.29). Behavioral signals: High response rate"
CAND_0071974,94,0.4518,"Senior AI Engineer with 7.8 years exp. Semantic Capability Match is 0.40 (50% skill coverage, title match: 0.86) [Depth bonus applied]. Average behavioral signals."
CAND_0082086,95,0.4507,"Senior Software Engineer (ML) with 6.0 years exp. Semantic Capability Match is 0.25 (25% skill coverage, title match: 0.61). Behavioral signals: High response rate"
CAND_0061265,96,0.4504,"Recommendation Systems Engineer with 6.6 years exp. Semantic Capability Match is 0.25 (50% skill coverage, title match: 0.30) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0073883,97,0.4502,"AI Specialist with 5.3 years exp. Semantic Capability Match is 0.25 (50% skill coverage, title match: 0.54). Behavioral signals: High response rate"
CAND_0069643,98,0.4501,"Senior Software Engineer with 7.1 years exp. Semantic Capability Match is 0.25 (25% skill coverage, title match: 0.63) [Depth bonus applied]. Behavioral signals: High response rate"
CAND_0074326,99,0.4496,"Junior ML Engineer with 6.4 years exp. Semantic Capability Match is 0.25 (25% skill coverage, title match: 0.62). Behavioral signals: High response rate"
CAND_0080472,100,0.4491,"Junior ML Engineer with 4.4 years exp. Semantic Capability Match is 0.30 (50% skill coverage, title match: 0.62). Behavioral signals: High response rate"
